Nr points, dim, nr neigh, python execution time
1024,8,8,0.027524948120117188
1024,16,8,0.02541184425354004
1024,32,8,0.023369789123535156
1024,64,8,0.0229189395904541
1024,128,8,0.02365279197692871
1024,2,16,0.021883249282836914
1024,4,16,0.0224151611328125
1024,8,16,0.02319502830505371
1024,16,16,0.024527311325073242
1024,32,16,0.02662825584411621
1024,64,16,0.02255392074584961
1024,128,16,0.023808002471923828
1024,2,32,0.025838136672973633
1024,4,32,0.0254518985748291
1024,8,32,0.024704933166503906
1024,16,32,0.025094985961914062
1024,32,32,0.0249330997467041
1024,64,32,0.024132728576660156
1024,128,32,0.026137113571166992
1024,2,64,0.027483701705932617
1024,4,64,0.026894092559814453
1024,8,64,0.027495145797729492
1024,16,64,0.02733898162841797
1024,32,64,0.027323007583618164
1024,64,64,0.027844905853271484
1024,128,64,0.02804708480834961
1024,2,128,0.03272891044616699
1024,4,128,0.032389163970947266
1024,8,128,0.031897783279418945
1024,16,128,0.0330049991607666
1024,32,128,0.03348493576049805
1024,64,128,0.03504681587219238
